Z=0.020000 Y=0.275000 OS=0.000000 l/Hp=0.000000 [Fe/H]= 0.000000 [Alpha/Fe]= 0.000000
  M/Msun     logT  logL/Ls   logg    Mv     U-B    B-V    V-R    V-I    V-J    V-H    V-K    V-L    V-M     #(x=-1)    #(x=1.35)    #(x=3)
age(Gyr)= 0.002500  21 points

age(Gyr)= 0.010000  21 points
 0.075000  3.478003  0.000000  4.216048  12.590476  0.000000  0.000000  1.170000  2.790000  4.836959  5.504795  5.852171  0.000000  0.000000  0.000000  0.000000  0.000000
 0.080000  3.480731  0.000000  4.216891  12.452796  0.000000  0.000000  1.150379  2.770379  4.602397  5.265526  5.613820  0.000000  0.000000  0.000000  0.000000  0.000000
 0.090000  3.485575  0.000000  4.217324  12.203824  0.000000  0.000000  1.140000  2.730000  4.521041  5.184158  5.532045  0.000000  0.000000  0.000000  0.000000  0.000000
 0.100000  3.489945  0.000000  4.216473  11.966908  0.000000  0.000000  1.120193  2.680386  4.437060  5.110702  5.448065  0.000000  0.000000  0.000000  0.000000  0.000000
 0.110000  3.493003  0.000000  4.213825  11.779384  0.000000  0.000000  1.110664  2.660664  4.374734  5.048291  5.375425  0.000000  0.000000  0.000000  0.000000  0.000000
 0.130000  3.498171  0.000000  4.210633  11.469246  0.000000  0.000000  1.090050  2.620050  4.312082  4.985617  5.312040  0.000000  0.000000  0.000000  0.000000  0.000000
 0.150000  3.503230  0.000000  4.207098  11.183725  0.000000  0.000000  1.079608  2.580000  4.220876  4.894110  5.210221  0.000000  0.000000  0.000000  0.000000  0.000000
 0.175000  3.508087  0.000000  4.201694  10.891388  0.000000  0.000000  1.060000  2.540574  4.144722  4.817648  5.123223  0.000000  0.000000  0.000000  0.000000  0.000000
 0.200000  3.512003  0.000000  4.196939  10.648030  0.000000  0.000000  1.040152  2.510303  4.100199  4.783986  5.088944  0.000000  0.000000  0.000000  0.000000  0.000000
 0.250000  3.518846  0.000000  4.190886  10.240455  0.000000  0.000000  1.020000  2.461364  3.986197  4.669566  4.954523  0.000000  0.000000  0.000000  0.000000  0.000000
 0.300000  3.524383  0.000000  4.188316  9.922736  0.000000  0.000000  1.000000  2.430519  3.926778  4.620280  4.893598  0.000000  0.000000  0.000000  0.000000  0.000000
 0.350000  3.530968  0.000000  4.187368  9.612736  0.000000  0.000000  0.970519  2.381038  3.838335  4.542569  4.805155  0.000000  0.000000  0.000000  0.000000  0.000000
 0.400000  3.537945  0.000000  4.189000  9.340000  0.000000  0.000000  0.960000  2.340000  3.787014  4.502537  4.753834  0.000000  0.000000  0.000000  0.000000  0.000000
 0.450000  3.544440  0.000000  4.188298  9.073125  0.000000  0.000000  0.930529  2.291058  3.681149  4.417001  4.647969  0.000000  0.000000  0.000000  0.000000  0.000000
 0.500000  3.550839  0.000000  4.189659  8.839317  0.000000  0.000000  0.919951  2.250049  3.625502  4.373169  4.592322  0.000000  0.000000  0.000000  0.000000  0.000000
 0.570000  3.558540  0.000000  4.189038  8.533684  0.000000  0.000000  0.880574  2.191722  3.510149  4.267689  4.466557  0.000000  0.000000  0.000000  0.000000  0.000000
 0.600000  3.561626  0.000000  4.189355  8.412701  0.000000  0.000000  0.870664  2.161991  3.476323  4.234168  4.421784  0.000000  0.000000  0.000000  0.000000  0.000000
